order_id,user_id,session_id,order_ts,gross_amount,discount_amount,net_amount,payment_method,coupon_id,item_count,total_qty,top_category,shipping_pincode,shipping_city_tier,high_discount_flag,multi_coupon_user_flag,payment_fail_count,device_reuse_count,pincode_reuse_count,order_value_zscore,qty_outlier_flag,new_user_flag,cod_flag,late_night_flag,multi_order_session_flag,risk_score,risk_band
O000001,U03175,S039195,2024-06-20 08:00:00,12226,163,12063,COD,CP001,3,7,Electronics,452211,Tier 1,0,0,0,8,18,-0.8957186492982814,0,0,1,0,0,12,Low
O000002,U00861,S000390,2024-06-26 12:00:00,8773,605,8168,DEBIT_CARD,NO_COUPON,2,5,Fashion,594722,Tier 1,0,0,0,6,13,-1.39835997919825,0,0,0,0,0,19,Low
O000003,U01295,S099304,2024-07-06 17:00:00,6156,1272,4884,UPI,NO_COUPON,1,9,Home,280566,Tier 2,0,0,0,8,14,-1.2532108280749386,1,0,0,0,0,17,Low
O000004,U01131,S067392,2024-01-15 03:00:00,9467,1091,8376,CREDIT_CARD,CP001,2,2,Home,500961,Tier 2,0,1,1,4,8,1.5857518429621433,0,0,0,1,0,35,Medium
O000005,U01096,S013795,2024-11-14 04:00:00,3538,854,2684,DEBIT_CARD,CP002,1,7,Fashion,494639,Tier 2,0,0,0,1,9,-1.593982976118917,0,0,0,1,0,5,Low
O000006,U03093,S058003,2024-08-01 15:00:00,13065,1044,12021,CREDIT_CARD,NO_COUPON,1,9,Fashion,933737,Tier 1,0,0,0,3,13,-0.7402632005586495,1,0,0,0,0,11,Low
O000007,U01639,S035532,2024-06-17 09:00:00,11579,830,10749,DEBIT_CARD,NO_COUPON,5,2,Home,604107,Tier 1,0,0,2,3,17,-1.3496489222529668,0,0,0,0,0,19,Low
O000008,U02170,S052816,2024-10-06 17:00:00,2378,1535,843,DEBIT_CARD,CP002,3,6,Home,386865,Tier 3,1,0,0,1,6,-0.7909475363660151,0,0,0,0,0,14,Low
O000009,U00467,S004987,2024-10-31 17:00:00,2771,596,2175,UPI,NO_COUPON,5,9,Electronics,356769,Tier 3,0,0,0,5,10,-0.2879906229377414,1,0,0,0,0,28,Medium
O000010,U01239,S032299,2024-09-19 03:00:00,2107,1413,694,DEBIT_CARD,NO_COUPON,2,3,Electronics,310859,Tier 3,1,0,0,6,11,0.15849088398455827,0,0,0,1,0,26,Medium
O000011,U00331,S001482,2024-03-30 04:00:00,3639,535,3104,COD,NO_COUPON,2,8,Electronics,600627,Tier 3,0,0,0,9,10,1.424026034765437,1,0,1,1,1,52,High
O000012,U01483,S056409,2024-02-29 22:00:00,1105,110,995,DEBIT_CARD,NO_COUPON,4,5,Home,588247,Tier 1,0,0,0,8,6,0.9314243624455485,0,1,0,0,1,20,Low
