order_id,user_id,session_id,order_ts,gross_amount,discount_amount,net_amount,payment_method,coupon_id,item_count,total_qty,top_category,shipping_pincode,shipping_city_tier,high_discount_flag,multi_coupon_user_flag,payment_fail_count,device_reuse_count,pincode_reuse_count,order_value_zscore,qty_outlier_flag,new_user_flag,cod_flag,late_night_flag,multi_order_session_flag,risk_score,risk_band
O000000001,,S000000056,2025-08-03 03:58:38,7151.27,0.0,7151.27,UPI,NO_COUPON,3,5,Electronics,566103.0,Tier 1,0,0,0.0,1,1.0,0.15752302517624459,0,0,0,1,0,5.0,Low
O000000002,U001492,S000000065,2025-08-03 00:45:57,1045.38,0.0,1045.38,Card,NO_COUPON,2,5,Electronics,575439.0,Tier 3,0,0,2.0,3,60.0,-0.8344184810278302,0,0,0,1,0,15.0,Low
O000000003,U000430,S000000086,2025-08-03 08:43:49,9170.26,0.0,9170.26,Card,NO_COUPON,4,8,Electronics,575842.0,Tier 3,0,0,0.0,2,58.0,0.48552106995120203,0,0,0,0,0,0.0,
O000000004,U002435,S000000137,2025-08-03 16:40:31,5184.57,0.0,5184.57,UPI,NO_COUPON,2,6,Electronics,563967.0,Tier 1,0,0,0.0,3,168.0,-0.1619801693214543,0,0,0,0,0,0.0,
O000000005,U001798,S000000154,2025-08-03 00:52:44,9287.66,80.0,9207.66,Card,SHIPFREE,4,7,Electronics,575614.0,Tier 3,0,0,1.0,5,42.0,0.5045934628093043,0,0,0,1,0,10.0,Low
O000000006,U002291,S000000156,2025-08-03 04:20:01,229.0,0.0,317.98,Card,NO_COUPON,1,1,Electronics,569539.0,Tier 1,0,0,1.0,2,139.0,-0.9670447168157141,0,0,0,1,0,10.0,Low
O000000007,U002385,S000000164,2025-08-03 10:47:34,8958.06,0.0,8958.06,COD,NO_COUPON,4,9,Electronics,569539.0,Tier 1,0,0,0.0,3,139.0,0.4510478010884309,0,0,1,0,0,10.0,Low
O000000008,U002662,S000000171,2025-08-03 11:50:32,2728.59,0.0,2728.59,UPI,NO_COUPON,4,5,Electronics,572769.0,Tier 3,0,0,0.0,2,64.0,-0.5609700791310125,0,1,0,0,0,5.0,Low
O000000009,U001389,S000000227,2025-08-03 04:49:11,4596.19,500.0,4096.19,Card,FLASH40,2,4,Electronics,578600.0,Tier 3,0,0,0.0,1,56.0,-0.25756632357912246,0,0,0,1,0,5.0,Low
O000000010,,S000000264,2025-08-03 17:11:41,12319.85,0.0,12319.85,Card,NO_COUPON,4,7,Electronics,569589.0,Tier 1,0,0,1.0,1,1.0,0.9971924312966065,0,0,0,0,0,5.0,Low
O000000011,U001170,S000000298,2025-08-03 20:07:51,4507.74,0.0,4507.74,Card,NO_COUPON,4,7,Electronics,563967.0,Tier 1,0,0,0.0,1,168.0,-0.271935600821875,0,0,0,0,0,0.0,
O000000012,U001736,S000000334,2025-08-03 10:49:49,16647.57,0.0,16647.57,Card,NO_COUPON,2,5,Electronics,579260.0,Tier 3,0,0,0.0,7,65.0,1.7002586665595245,0,0,0,0,0,0.0,
O000000013,U000152,S000000377,2025-08-03 17:04:12,4853.16,0.0,4853.16,Card,NO_COUPON,4,8,Electronics,579266.0,Tier 3,0,0,0.0,3,53.0,-0.2158198773035981,0,0,0,0,0,0.0,
O000000014,U000762,S000000384,2025-08-03 03:26:09,384.6,0.0,466.76,NetBanking,NO_COUPON,2,2,Electronics,579260.0,Tier 3,0,0,1.0,1,65.0,-0.9417664857363213,0,1,0,1,0,15.0,Low
O000000015,U002052,S000000386,2025-08-03 16:23:21,1813.55,0.0,1813.55,COD,NO_COUPON,1,1,Electronics,578418.0,Tier 3,0,0,0.0,4,51.0,-0.7096242730056116,0,0,1,0,0,10.0,Low
O000000016,U001385,S000000425,2025-08-03 14:56:03,2710.73,0.0,2710.73,Card,NO_COUPON,2,3,Electronics,574573.0,Tier 3,0,0,0.0,2,50.0,-0.5638715521842127,0,0,0,0,0,0.0,
O000000017,U002061,S000000444,2025-08-03 10:59:32,33170.45,0.0,33170.45,COD,NO_COUPON,4,10,Electronics,563967.0,Tier 1,0,0,0.0,2,168.0,4.384507887234837,0,0,1,0,0,10.0,Low
O000000018,U003032,S000000467,2025-08-03 22:15:53,1795.55,0.0,1795.55,COD,NO_COUPON,3,5,Electronics,569539.0,Tier 1,0,0,0.0,4,139.0,-0.7125484899685234,0,0,1,0,0,10.0,Low
O000000019,U000300,S000000499,2025-08-04 00:01:22,1732.82,0.0,1732.82,COD,NO_COUPON,4,7,Electronics,578963.0,Tier 3,0,0,0.0,1,62.0,-0.722739386084271,0,0,1,1,0,15.0,Low
O000000020,U000266,S000000521,2025-08-03 21:27:21,2968.57,150.0,2818.57,UPI,CPN008,4,10,Electronics,572901.0,Tier 3,0,0,0.0,1,32.0,-0.5219837687554809,0,0,0,0,0,0.0,
O000000021,U000691,S000000567,2025-08-03 02:30:57,5497.89,0.0,5497.89,Card,NO_COUPON,2,4,Electronics,568375.0,Tier 1,0,0,2.0,3,124.0,-0.11107929938703663,0,1,0,1,0,20.0,Low
O000000022,U002851,S000000592,2025-08-03 18:46:37,2339.54,0.0,2339.54,COD,NO_COUPON,3,7,Electronics,579260.0,Tier 3,0,0,0.0,3,65.0,-0.6241737796543916,0,0,1,0,0,10.0,Low
O000000023,U002547,S000000627,2025-08-03 03:15:32,1332.85,0.0,1332.85,UPI,NO_COUPON,1,1,Electronics,575439.0,Tier 3,0,0,1.0,2,60.0,-0.78771711156515,0,1,0,1,0,15.0,Low
O000000024,U002585,S000000644,2025-08-03 23:17:05,10657.1,0.0,10657.1,COD,NO_COUPON,1,2,Electronics,573828.0,Tier 3,0,0,0.0,3,52.0,0.7270678893476318,0,0,1,1,0,15.0,Low
O000000025,U000596,S000000653,2025-08-04 07:05:50,2219.3,0.0,2219.3,NetBanking,NO_COUPON,3,6,Electronics,568375.0,Tier 1,0,0,1.0,3,124.0,-0.6437075489666422,0,0,0,0,0,5.0,Low
O000000026,U000830,S000000689,2025-08-04 08:28:46,731.94,0.0,731.94,COD,NO_COUPON,1,3,Electronics,575139.0,Tier 3,0,0,0.0,5,64.0,-0.8853388457420006,0,1,1,0,0,15.0,Low
O000000027,,S000000704,2025-08-04 17:18:00,5093.39,0.0,5093.39,NetBanking,NO_COUPON,4,8,Electronics,565106.0,Tier 1,0,0,0.0,1,1.0,-0.17679295280358168,0,0,0,0,0,0.0,
O000000028,U001428,S000000723,2025-08-04 12:54:28,7565.88,0.0,7565.88,Card,NO_COUPON,3,4,Electronics,575139.0,Tier 3,0,0,0.0,6,64.0,0.22487911378695838,0,1,0,0,0,5.0,Low
O000000029,U002956,S000000774,2025-08-04 12:19:31,8839.62,0.0,8839.62,Wallet,NO_COUPON,1,3,Electronics,574621.0,Tier 3,0,0,0.0,2,36.0,0.4318064534724717,0,1,0,0,0,5.0,Low
O000000030,U000162,S000000814,2025-08-04 03:17:37,6268.78,0.0,6268.78,Card,NO_COUPON,4,8,Electronics,578896.0,Tier 3,0,0,1.0,1,47.0,0.014156790309577392,0,0,0,1,0,10.0,Low
O000000031,U001377,S000000852,2025-08-04 16:00:03,11294.76,0.0,11294.76,UPI,NO_COUPON,3,9,Electronics,568518.0,Tier 1,0,0,1.0,2,164.0,0.8306598998237607,0,0,0,0,0,5.0,Low
O000000032,U001819,S000000882,2025-08-04 17:47:39,8765.94,0.0,8765.94,Card,NO_COUPON,4,9,Electronics,568375.0,Tier 1,0,0,0.0,2,124.0,0.4198366587042861,0,0,0,0,0,0.0,
O000000033,U001676,S000000896,2025-08-04 08:19:10,6503.4,0.0,6503.4,COD,NO_COUPON,3,5,Electronics,577965.0,Tier 3,0,0,0.0,3,43.0,0.052272333856152896,0,0,1,0,0,10.0,Low
O000000034,U001684,S000000931,2025-08-04 02:43:01,5178.26,500.0,4678.26,Card,FLASH40,3,8,Electronics,577899.0,Tier 3,0,0,2.0,2,54.0,-0.1630052698234527,0,0,0,1,0,15.0,Low
O000000035,U001946,S000000961,2025-08-04 13:40:26,475.05,0.0,548.25,COD,NO_COUPON,1,3,Electronics,575439.0,Tier 3,0,0,0.0,3,60.0,-0.9270722954976897,0,1,1,0,0,15.0,Low
