user_id,week_start,orders_count,net_revenue,coupon_orders_count,avg_discount_pct,cod_orders_count,payment_failures_count,risk_score_avg,refunds_count,refund_amount,rto_count
U00001,2024-01-08,1,4575,0,30.099312452253628,0,0,29.0,1,1943,0
U00002,2024-02-05,1,10006,0,16.59581562057181,0,0,13.0,1,1677,1
U00002,2024-02-12,1,9693,0,5.156555772994129,0,0,6.0,2,3196,1
U00002,2024-06-24,1,5276,0,13.18084581207833,0,1,27.0,0,0,1
U00002,2024-10-28,1,13361,0,2.002347073492739,0,0,8.0,2,3926,1
U00003,2024-02-12,1,9194,0,11.977022498803255,1,0,43.0,2,1610,1
U00004,2024-12-23,1,10238,0,8.922693710523975,0,0,23.0,2,1910,0
U00005,2024-10-28,1,4740,0,25.413060582218726,0,0,5.0,0,0,1
U00006,2024-05-20,1,10870,0,14.23386460470254,1,2,46.0,2,3742,1
U00007,2024-11-25,1,1092,0,12.359550561797752,0,0,15.0,2,1206,1
U00008,2024-01-01,1,8361,0,15.42585474408254,0,0,15.0,1,1296,1
U00008,2024-06-03,1,246,0,56.690140845070424,0,0,35.0,1,1559,0
U00010,2024-01-29,1,2650,1,18.386202648598708,0,0,13.0,0,0,0
U00010,2024-02-12,1,8431,1,9.693658954584404,0,0,24.0,0,0,0
U00010,2024-04-22,1,11632,0,11.192548480684074,0,0,9.0,1,1396,1
U00010,2024-07-15,1,385,0,30.0,0,0,11.0,2,1156,0
U00010,2024-09-09,1,5429,1,5.64824469933959,0,1,23.0,0,0,0
U00011,2024-02-26,1,5207,0,22.641509433962266,1,0,31.0,0,0,1
U00011,2024-06-03,1,11949,1,9.415510575392313,0,0,40.0,0,0,0
U00012,2024-01-01,1,8747,1,17.04286798179059,1,0,18.0,1,1395,1
U00012,2024-01-08,1,10010,0,10.911356354574583,0,0,22.0,2,2034,0
U00012,2024-07-08,1,5998,0,5.528429673964403,0,0,25.0,0,0,0
U00012,2024-10-14,1,3984,1,11.897390535161433,0,0,24.0,1,1447,1
U00014,2024-09-02,1,1445,1,53.7303874479667,0,0,34.0,1,1560,1
U00014,2024-11-25,1,10409,0,15.17398745008557,0,0,26.0,1,1627,1
U00016,2024-10-14,1,6051,0,17.98590403903497,0,0,8.0,0,0,1
U00017,2024-03-18,1,3901,0,5.40737148399612,1,0,15.0,1,666,1
U00017,2024-08-05,1,6780,0,15.556109104496201,1,0,21.0,1,1185,0
U00019,2024-04-01,1,12496,1,5.783005353238332,0,0,10.0,2,3950,0
U00019,2024-04-29,1,-474,1,139.59899749373434,0,0,11.0,1,1064,1
U00019,2024-05-06,1,6608,1,10.351377018043685,0,0,17.0,0,0,0
U00020,2024-07-15,1,12580,0,4.508881129497495,0,0,10.0,1,1600,0
U00021,2024-09-30,1,13617,0,2.540795877469224,0,0,29.0,2,2548,1
U00021,2024-12-16,1,676,0,55.67213114754098,0,0,25.0,1,824,0
U00022,2024-01-15,1,-885,0,257.4733096085409,0,0,19.0,0,0,0
U00022,2024-05-06,1,2139,0,42.91433146517214,0,0,14.0,1,1861,1
U00022,2024-07-29,1,5613,1,11.57844990548204,0,1,9.0,0,0,0
U00022,2024-10-07,1,11454,0,8.360668853508281,1,0,34.0,1,1370,1
U00023,2024-01-29,1,5482,0,20.052501093772786,0,0,23.0,1,1392,1
U00023,2024-04-15,1,2380,0,39.50177935943061,1,0,37.0,0,0,1
U00025,2024-04-29,1,-590,1,147.35152487961477,1,0,36.0,1,653,1
U00025,2024-08-12,1,-814,1,194.65116279069767,1,0,31.0,0,0,0
U00025,2024-09-09,1,7183,0,16.017771542148953,0,0,22.0,1,857,1
U00026,2024-03-25,1,5094,1,24.856173476913998,0,0,9.0,0,0,0
U00028,2024-01-29,1,12979,1,8.320971957335594,0,0,11.0,1,1852,1
U00028,2024-12-09,1,13974,0,3.0593132154006244,0,1,7.0,1,1371,0
U00029,2024-04-01,1,6919,1,12.561607481359788,0,2,26.0,1,1791,0
U00029,2024-04-08,1,2054,1,36.85828466031356,0,0,32.0,2,3104,1
U00029,2024-10-14,1,12692,0,0.2593320235756385,0,0,23.0,1,1928,1
U00033,2024-12-16,1,11894,1,9.11591655841675,0,0,13.0,2,1040,0
U00035,2024-03-25,1,1947,0,43.58157055925819,1,0,31.0,0,0,0
U00035,2024-11-25,1,4292,0,8.015430775825118,0,3,22.0,2,1568,1
U00036,2024-07-08,1,2695,1,18.776371308016877,0,1,21.0,1,741,0
U00036,2024-11-18,1,12623,0,12.163384593973975,0,0,22.0,1,1101,0
U00036,2024-12-02,1,8118,0,5.779944289693593,0,0,4.0,2,2764,0
U00037,2024-01-08,1,14142,0,1.291268234801424,0,0,24.0,2,2356,1
U00037,2024-04-22,1,1440,1,0.2770083102493075,1,1,23.0,2,2140,0
U00038,2024-04-29,1,10012,0,16.10524551701022,1,0,44.0,1,699,1
U00039,2024-03-25,1,2258,0,42.324393358876115,0,1,41.0,0,0,1
U00039,2024-04-08,1,9491,0,15.122518333035234,0,2,31.0,2,3356,0
U00039,2024-05-13,1,207,0,80.67226890756302,0,0,21.0,0,0,1
U00039,2024-09-02,1,4902,0,19.783996072655867,0,2,21.0,2,2988,0
U00040,2024-01-29,1,10091,0,4.232703805637278,0,1,5.0,2,2288,0
U00040,2024-10-21,1,6155,0,11.067764773876608,1,0,25.0,2,3310,1
U00040,2024-11-04,1,-870,0,178.09694793536804,0,0,18.0,0,0,1
U00041,2024-02-05,1,12181,0,11.068117105935606,1,0,23.0,1,1256,1
U00041,2024-02-12,1,11931,0,10.515262881572038,0,0,26.0,1,839,1
U00041,2024-07-15,1,13264,0,2.0384047267355982,0,1,41.0,1,1785,1
U00041,2024-09-23,1,8695,0,11.815415821501015,0,0,27.0,1,1808,0
U00042,2024-06-17,1,11391,0,3.889638879514006,0,0,17.0,2,2230,1
U00043,2024-03-04,1,10615,1,7.895878524945769,1,1,35.0,0,0,1
U00043,2024-03-11,1,5313,1,18.897878186536406,0,1,19.0,2,2094,1
U00043,2024-04-01,1,8820,0,13.647934207949872,0,2,43.0,1,1924,1
U00043,2024-09-23,1,714,0,46.95393759286775,0,0,11.0,1,1892,0
U00047,2024-01-08,1,8509,0,14.76510067114094,0,0,26.0,2,1072,0
U00047,2024-04-01,1,4029,0,9.966480446927374,1,0,21.0,2,1352,0
U00048,2024-03-11,1,9806,0,13.152068018776017,0,0,4.0,1,1612,0
U00049,2024-11-25,1,9561,0,13.396739130434781,0,0,22.0,2,3034,1
U00050,2024-12-09,1,5856,1,14.896090684493531,0,1,27.0,1,947,1
U00051,2024-02-05,1,8014,0,16.832710668327106,1,0,32.0,0,0,1
U00051,2024-02-19,1,11224,0,10.800286100294047,0,2,18.0,0,0,1
U00051,2024-11-11,1,6909,0,9.886526672753359,1,1,30.0,2,3068,1
U00051,2024-12-16,1,7625,0,10.849994154097978,0,0,20.0,0,0,1
U00053,2024-09-30,1,1238,1,44.55888938647559,0,0,29.0,1,1668,0
U00054,2024-06-24,1,746,1,53.404122423485326,0,1,34.0,1,1328,1
U00055,2024-01-29,1,7035,1,7.422029214370311,0,0,14.0,0,0,0
U00055,2024-04-01,1,-583,1,166.17480136208854,0,0,31.0,1,1478,0
U00055,2024-10-21,1,10588,1,12.999178307313064,0,0,26.0,0,0,0
U00056,2024-12-23,1,13772,0,7.334140761674068,0,0,8.0,2,3200,0
U00057,2024-07-29,1,6335,1,8.254887762490949,0,2,34.0,1,648,0
U00058,2024-08-05,1,13181,0,0.5207547169811321,0,0,15.0,0,0,0
U00059,2024-06-24,1,5593,0,22.48094248094248,0,0,10.0,2,3054,1
U00060,2024-06-03,1,13908,0,3.657522859517872,0,3,32.0,2,3044,1
U00061,2024-06-03,1,14656,0,0.3941824113089574,0,0,16.0,0,0,1
U00061,2024-09-30,1,6056,0,9.354886992965126,0,0,16.0,2,1900,0
U00063,2024-11-11,1,1394,0,53.85633896060907,0,2,27.0,2,2006,0
U00063,2024-11-25,1,8977,0,13.558016369764085,0,3,33.0,0,0,0
U00065,2024-04-01,1,2170,1,14.059405940594061,0,0,14.0,2,3916,0
U00065,2024-07-29,1,12939,0,3.8492977632458945,0,1,19.0,1,1175,1
U00067,2024-01-15,1,9874,0,13.741591683410501,0,0,18.0,1,1486,1
U00067,2024-01-22,1,1955,0,38.347524440239674,0,0,15.0,0,0,0
U00068,2024-02-26,1,14042,0,5.262447712859263,0,0,9.0,2,3252,1
U00068,2024-11-04,1,7544,0,15.822361080116046,0,0,16.0,0,0,1
U00069,2024-08-19,1,1986,0,35.99742184982275,1,0,30.0,2,3160,0
U00072,2024-12-23,1,13803,0,3.536235935425257,0,0,23.0,2,1776,0
U00073,2024-01-22,1,1419,0,35.146252285191956,0,0,27.0,0,0,0
U00073,2024-06-03,1,763,1,22.06332992849847,1,1,24.0,1,1574,1
U00075,2024-02-19,1,4461,0,1.1303191489361704,0,0,1.0,2,3530,1
U00075,2024-04-08,1,13597,0,6.729318150637948,0,1,15.0,2,2540,0
U00075,2024-05-06,1,7379,1,17.470081646348284,0,1,42.0,1,1944,1
U00076,2024-06-24,1,11686,1,3.9612097304405,0,1,25.0,1,570,1
U00077,2024-07-15,1,4525,1,6.295299233795817,0,0,30.0,2,3764,1
U00078,2024-09-23,1,9687,0,14.387980556783031,1,0,22.0,2,1004,1
U00078,2024-09-30,1,4611,0,30.13636363636364,0,0,17.0,2,3256,0
U00079,2024-08-26,1,8160,1,10.408432147562582,0,0,15.0,1,1083,0
U00080,2024-10-28,1,11568,1,1.136654986753269,0,0,17.0,2,2826,0
U00082,2024-08-19,1,7170,0,16.49196366177498,0,0,2.0,2,1882,0
U00082,2024-12-16,1,10097,0,6.81985972683647,0,0,3.0,2,3066,1
U00083,2024-03-18,1,5846,0,6.434058898847632,1,2,52.0,1,987,0
U00083,2024-08-12,1,-349,0,153.77503852080125,1,0,44.0,2,3272,0
U00084,2024-04-22,1,12067,1,13.386448463967843,0,2,12.0,1,1552,0
U00084,2024-06-10,1,3585,0,13.801394566001443,0,0,14.0,0,0,1
U00086,2024-04-15,1,9315,0,13.445456234900577,0,2,30.0,2,1326,1
U00086,2024-11-25,1,-257,0,145.24647887323943,0,0,20.0,0,0,1
U00087,2024-11-11,1,7806,0,6.80515759312321,0,0,23.0,1,1849,0
U00088,2024-01-08,1,8816,0,15.563643329183027,1,1,25.0,2,2272,0
U00090,2024-04-08,1,9095,1,0.6770776455170907,0,0,18.0,1,1414,1
U00090,2024-05-20,2,18989,1,15.682041567125662,0,0,17.0,1,1874,0
U00091,2024-07-15,1,12419,0,6.97378277153558,0,0,17.0,2,2728,1
U00092,2024-09-30,1,865,1,3.781979977753059,0,0,7.0,2,1902,1
U00093,2024-02-05,1,-1039,0,269.7712418300654,0,0,11.0,1,1663,1
U00095,2024-02-19,1,13316,0,6.086465900275054,1,0,23.0,0,0,0
U00095,2024-10-21,1,2335,0,38.66561597058051,0,2,48.0,2,1060,0
U00096,2024-10-28,1,9562,0,1.422680412371134,0,0,17.0,1,1143,1
U00098,2024-04-29,1,11617,0,0.3003776175763817,0,0,16.0,2,1458,0
U00098,2024-10-28,1,13486,0,9.441310770883696,0,1,30.0,2,1278,0
U00099,2024-12-16,1,7361,0,10.176937156802929,1,0,19.0,1,1785,0
U00102,2024-01-08,1,11880,1,11.18421052631579,1,0,24.0,1,1673,0
U00102,2024-04-01,1,14899,0,0.4077540106951872,0,1,8.0,0,0,1
U00104,2024-07-29,1,9177,1,6.614429632644754,0,0,17.0,2,2980,1
U00104,2024-11-11,1,476,1,30.409356725146196,0,0,23.0,0,0,0
U00105,2024-02-05,1,5041,1,5.986572174561731,1,1,26.0,0,0,1
U00105,2024-03-04,1,1580,0,40.48964218455744,0,2,33.0,0,0,1
U00105,2024-06-10,1,4251,1,24.4535276346188,1,0,33.0,0,0,1
U00106,2024-12-09,1,5647,1,23.033937576666215,0,0,16.0,0,0,1
U00106,2024-12-30,1,1610,1,28.949691085613416,0,0,12.0,0,0,0
U00107,2024-04-01,1,1754,1,14.895681707908782,1,0,19.0,0,0,1
U00108,2024-06-24,1,9394,0,16.027531956735498,0,0,0.0,1,528,1
U00111,2024-03-11,1,2489,1,36.26120358514724,1,1,49.0,0,0,1
U00111,2024-03-25,1,386,0,61.93293885601578,0,0,24.0,1,1318,1
U00112,2024-02-05,1,11680,0,11.232710138318893,0,0,5.0,1,1789,1
U00113,2024-04-29,1,11167,1,5.002126754572522,0,0,9.0,1,1096,1
U00113,2024-09-16,1,9150,1,9.018594014119518,0,0,31.0,1,633,0
U00115,2024-05-06,1,13312,0,7.824401052485805,0,2,21.0,1,607,1
U00116,2024-03-11,1,5745,1,9.24170616113744,1,0,36.0,2,2342,0
U00116,2024-06-24,1,12885,0,5.271283634759595,0,0,0.0,1,1119,1
U00116,2024-10-14,1,2559,1,29.562345169281585,1,0,26.0,2,1390,1
U00117,2024-07-15,1,12207,0,11.780010117800101,0,0,15.0,2,3490,0
U00117,2024-08-19,1,2468,1,39.65770171149144,1,2,49.0,1,1373,1
U00117,2024-09-16,1,9554,1,8.407631099606942,0,0,19.0,1,944,1
U00118,2024-01-29,1,4796,0,28.375149342891277,0,1,21.0,1,1503,1
U00118,2024-10-07,1,14216,0,3.4894772572980313,0,0,16.0,2,1416,0
U00119,2024-08-26,1,-430,0,132.16155572176515,0,0,21.0,2,2004,0
U00119,2024-09-30,1,6199,0,13.914734064713235,0,0,15.0,0,0,0
U00120,2024-10-14,1,10648,1,13.233376792698825,0,2,31.0,1,1231,0
U00123,2024-08-12,1,3369,0,20.090132827324478,0,0,3.0,0,0,1
U00124,2024-01-22,1,8752,0,7.435219460602855,0,0,17.0,2,2682,1
U00124,2024-08-12,1,9930,1,12.611106221948429,1,0,28.0,2,2380,0
U00124,2024-11-25,1,11385,1,7.6042850186658,0,0,14.0,2,1498,0
U00126,2024-01-01,1,9467,0,13.97546569741027,0,0,19.0,0,0,1
U00126,2024-03-11,1,11758,0,13.898652606912712,0,0,16.0,0,0,0
U00126,2024-04-15,1,2130,0,42.08809135399674,0,0,26.0,1,1872,0
U00126,2024-11-11,1,1697,1,18.64813039309684,0,1,18.0,0,0,0
U00127,2024-11-25,1,13188,0,5.448809865213651,0,0,16.0,1,620,0
U00128,2024-05-27,1,194,1,90.18715225088518,1,2,51.0,1,1740,1
